video_id,title,url,view_count,genre,country
htSdkFmTT5o,Lee Moore The Heart Of A Woman 1970 RARE US SOUL 45,https://www.youtube.com/watch?v=htSdkFmTT5o,797,soul,Unknown
x7RGTq_QW9w,70s Soul Medley - RCP 2017 American Vinyl,https://www.youtube.com/watch?v=x7RGTq_QW9w,63,soul,Unknown
-Q0R_dMPaEc,Jarrier Modrow - Rare Soul (Julian Bendall´s Afternoon Soul Edit Mix),https://www.youtube.com/watch?v=-Q0R_dMPaEc,4725,soul,Unknown
i-X1mEQE8oU,GENERATIONS SOUL FUNK 70s,https://www.youtube.com/watch?v=i-X1mEQE8oU,1016,soul,Unknown
F2mtXynxQ4c,GENERATIONS SOUL FUNK 70s,https://www.youtube.com/watch?v=F2mtXynxQ4c,788,soul,Unknown
8V6enEj5XW8,My 70's Soul - Funk - Disco Collection (part 1),https://www.youtube.com/watch?v=8V6enEj5XW8,35031,soul,Unknown
zOtJJ8Vlhck,Let This Love In R&B / Soul 70s / 80s RARE Unreleased music #music #romantic #hitsong,https://www.youtube.com/watch?v=zOtJJ8Vlhck,836,soul,Unknown
4P8KDoUCSEQ,Chicago Soul | Steve Oh Inspired 1970s Soul – Inner Dawn [Unreleased Album],https://www.youtube.com/watch?v=4P8KDoUCSEQ,96,soul,Unknown
6m71_VKT39I,GENERATIONS SOUL FUNK 70s,https://www.youtube.com/watch?v=6m71_VKT39I,1648,soul,Unknown
PovKANmVbbk,Inner Soul - Little Jack Horner [Cherrie] 1976 Rare Funk 45,https://www.youtube.com/watch?v=PovKANmVbbk,3634,soul,Unknown
7MJHGzGlszo,GENERATIONS SOUL FUNK 70s,https://www.youtube.com/watch?v=7MJHGzGlszo,5697,soul,Unknown
AGCqMnWYt8I,Howard Scott Jr   Baby/Lets Get It On   Rare Unknown Private Press 1970's Sweet  Soul   Funk R&B,https://www.youtube.com/watch?v=AGCqMnWYt8I,3426,soul,Unknown
dnRm2YcacvU,Franklin Wade - Still My Lady (Rare 70s Soul),https://www.youtube.com/watch?v=dnRm2YcacvU,200,soul,Unknown
CgngoLX8Vlo,GENERATIONS SOUL FUNK 70s,https://www.youtube.com/watch?v=CgngoLX8Vlo,2600,soul,Unknown
nvpyGQCAx2k,Rare Gospel Soul LP Brother Allan Johnson - Keep Your Mind On High,https://www.youtube.com/watch?v=nvpyGQCAx2k,504,soul,Unknown
